Landmark,X,Y
61,255,409
146,251,413
91,245,420
181,239,430
84,234,443
17,234,457
314,235,472
405,240,484
321,247,493
375,252,498
291,257,503
185,258,414
40,260,421
39,264,431
37,267,445
0,265,458
267,268,471
269,265,483
270,262,492
409,259,498
78,255,413
95,255,421
88,255,427
178,255,436
87,254,446
14,254,457
317,255,468
402,256,477
318,256,485
324,257,491
308,256,498
191,255,421
80,256,427
81,256,436
82,256,446
13,255,458
312,256,468
311,257,477
310,256,485
415,256,491
