Landmark,X,Y
61,204,439
146,209,445
91,215,452
181,225,461
84,237,468
17,252,472
314,267,473
405,281,471
321,292,466
375,300,462
291,307,458
185,210,439
40,218,440
39,229,440
37,244,441
0,258,446
267,273,446
269,286,451
270,295,454
409,301,456
78,208,440
95,216,443
88,223,446
178,232,449
87,243,453
14,255,456
317,268,457
402,279,458
318,288,458
324,294,458
308,302,458
191,216,443
80,223,446
81,232,449
82,243,452
13,256,456
312,268,457
311,279,458
310,287,458
415,294,458
